ME   gamma_EE_chiLchiL   gamma_EE_ff   gamma_EE_BB   
2454708.915685029   145.1563413766543   5757.868102389856   18051.327653236567
2491724.3712538965   142.99999207624467   5672.332915041601   17783.168733086335
2529297.996446142   140.8756761149319   5588.068383454231   17518.99340948022
2567438.2081061266   138.78291762602154   5505.05563158254   17258.742504668633
2606153.5499988976   136.7212478119885   5423.27606379171   17002.357720008564
2645452.6947240513   134.6902048394634   5342.711360691759   16749.781622904273
2685344.445658509   132.68933373577553   5263.343475033745   16500.957633941623
2725837.7389285336   130.71818628703596   5185.154627667067   16255.830014213927
2766941.645411513   128.77632093773332   5108.127303556759   16014.343852835897
2808665.3727679183   126.86330269182108   5032.244247859962   15776.44505464301
2851018.2675039098   124.97870301527423   4957.488462060663   15542.080328073775
2894009.81706504   123.12209974009394   4883.843200161878   15311.197173231863
2937649.6519615306   121.29307696973764   4811.2919649343885   15083.74387012565
2981947.547925597   119.49122498595452   4739.818504221213   14859.66946708249
3026913.4281013045   117.71614015700479   4669.406807296964   14638.923769335011
3072557.3652674453   115.9674248472422   4600.041101281297   14421.45732777704
3118889.5840939353   114.24468732804016   4531.705847605642   14207.221427886534
3165920.463432236   112.54754169004082   4464.385738532417   13996.16807881312
3213660.5386403147   110.8756077567075   4398.065693725946   13788.250002627587
3262120.5039426642   109.2285109991619   4332.730856874327   13583.420623731292
3311311.2148259077   107.605882452286   4268.366592361483   13381.63405842273
3361243.6904705376   106.00735863207007   4204.95848198862   13182.845104619144
3411929.116219288   104.43258145418984   4142.492321744474   12987.009231730939
3463378.846082797   102.88119815379117   4080.9541186234187   12794.082570686287
3515604.4052829836   101.35286120646775   4020.330087490924   12604.021904104071
3568617.4928348134   99.84722825041263   3960.606647995562   12416.784656612836
3622429.9841669877   98.36396200972571   3901.7704215268736   12232.32888531348
3677053.933782149   96.90273021886092   3843.8082282184423   12050.61327038363
3732501.5779572064   95.46320554819553   3786.7070839954686   11871.59710582165
3788785.3374843714   94.04506553070524   3730.454197666224   11695.240290328074
3845917.8204535353   92.64799248972868   3675.0369680567055   11521.503318322617
3903911.8250765996   91.2716734678047   3620.4429811878485   11350.34727109444
3962780.342554393   89.91580015656699   3566.6600074946787   11181.733808084085
4022536.5599868256   88.58006882768018   3513.6759990867818   11015.6251582948
4083193.863326919   87.26418026480185   3461.4790870494594   10851.984111831476
4144765.8403793885   85.96783969655512   3410.0575787849766   10690.774011565281
4207266.283844437   84.69075673049737   3359.399955393319   10531.95874492214
4270709.194407452   83.43264528806924   3309.494869091842   10375.502735793154
4335108.783875293   82.19322354051059   3260.3311406732637   10221.370936565218
4400479.478359833   80.97221384572866   3211.8977570014404   10069.528820270105
4466835.921509635   79.76934268610214   3164.183868544259   9919.942372849908
4534192.977790143   78.58434060721275   3117.1787869433233   9772.57808553783
4602565.735813563   77.41694215748322   3070.871982619595   9627.40294735171
4671969.511718803   76.26688582871446   3025.253082414701   9484.384437699317
4742419.852602448   75.13391399750505   2980.3118672672367   9343.490519093442
4813932.540001448   74.0177728675412   2936.0382699236084   9204.689629975193
4886523.593428336   72.91821241274408   2892.4223726828714   9067.950677643921
4960209.273959747   71.83498632126151   2849.4544051750663   8933.24303129213
5035006.087879048   70.76785194029192   2807.1247421725743   8800.536515143916
5110930.790373907   69.71657022172771   2765.4239014339696   8669.801401695324
5188000.389289609   68.68090566860637   2724.3425415799097   8541.008405055061
5266232.148938972   67.66062628235686   2683.8714600005774   8414.128674384232
5345643.593969714   66.65550351082976   2644.001590794213   8289.133787433442
5426252.513290141   65.66531219709951   2604.7240027362654   8165.99574417598
5508076.964054029   64.68983052902705   2566.029897278715   8044.686960535515
5591135.275705596   63.72883998957191   2527.9106065791143   7925.18026220704
5675446.054085465   62.782125307842314   2490.357591558913   7807.4488785695385
5761028.185598565   61.84947441087237   2453.3624399906175   7691.466436689141
5847900.841444812   60.930678376116155   2416.9168646133926   7577.206955411347
5936083.481913707   60.025531384646484   2381.0127012766084   7464.64483954096
6025595.860743581   59.133830675049964   2345.6419071110154   7353.754874108564
6116458.029546624   58.25537649800639   2310.7965587270573   7244.512218722113
6208690.342300638   57.389972071543085   2276.4688504399596   7136.892402002463
6302313.459908516   56.53742353695386   2242.6510925211865   7030.871316101548
6397348.354826482   55.697539915372865   2209.3357094758635   6926.425211301997
6493816.315762113   54.87013306499349   2176.5152383458   6823.530690696969
6591738.952443212   54.05501763892288   2144.1823270377113   6722.164704949036
6691138.200458591   53.252011043662506   2112.3297326762918   6622.3045471269115
6792036.326171843   52.46093339820543   2080.950319981728   6523.927847618878
6894455.9317092225   51.68160749374137   2050.037059671342   6427.012569121798
6998419.960022731   50.91385875396017   2019.5830268849588   6331.537001704536
7103951.700029552   50.15751519594518   1989.581399633674   6237.479757944746
7211074.79182899   49.412407391647385   1960.025457271668   6144.819768137876
7319813.231998072   48.678368429931915   1930.9085789907128   6053.53627557736
7430191.378967022   47.9552338791884   1902.2242423370492   5963.608831904913
7542233.958475699   47.24284175049713   1873.9660217503126   5875.01729252997
7655966.069112569   46.541032461340954   1846.1275871241069   5787.741812116957
7771413.187936803   45.84964879985872   1818.7027023880528   5701.762840139936
7888601.176185548   45.16853588962728   1791.6852241108115   5617.061116502978
8007556.2850670125   44.49754115496811   1765.0691001239136   5533.617667225762
8128305.161640995   43.836514286768896   1738.8483681660116   5451.413800193218
8250874.854788077   43.18530720881294   1713.0171545472856   5370.431100968338
8375292.821268827   42.54377404460854   1687.56967283367   5290.651428667133
