z   gamma_EE_chiLchiL   gamma_EE_ff   gamma_EE_BB   
0.024578879904451532   0.08265913801367883   3.278812474542593   21.165374311728765
0.024784007137016468   0.08265789587739523   3.2787632031366774   21.132731959103186
0.024990846293871823   0.08265663311146496   3.278713113421443   21.100093309722414
0.02519941166217362   0.08265534937567706   3.278662191901857   21.067458392150183
0.02540971764831379   0.08265404432427959   3.27861042486309   21.03482723498003
0.02562177877891523   0.08265271760540388   3.278557798347687   21.00219986689115
0.025835609701835276   0.08265136886291559   3.2785042982289836   20.96957631637995
0.026051225187177444   0.08264999773342506   3.2784499100925277   20.936956612157957
0.026268640128311677   0.08264860384811938   3.278394619308736   20.904340782875135
0.026487869542903057   0.08264718683202171   3.278338411003527   20.871728857182223
0.026708928573949176   0.0826457463045976   3.2782812700823722   20.83912086367081
0.026931832490826056   0.08264428187855713   3.2782231811827662   20.806516831093912
0.027156596690342934   0.08264279316052535   3.2781641287008383   20.77391678800347
0.02738323669780573   0.08264127975080528   3.2781040967819433   20.741320763019843
0.027611768168089457   0.08263974124300388   3.278043069305821   20.70872878464661
0.02784220688671955   0.0826381772243689   3.2779810298999665   20.676140881445487
0.028074568770962254   0.08263658727536939   3.277917961922987   20.6435570819
0.02830886987092403   0.08263497096967476   3.277853848463766   20.610977414443145
0.028545126370660288   0.08263332787404737   3.277788672337213   20.578401907450218
0.0287833545892932   0.08263165754823366   3.277722416079934   20.54583058923146
0.02902357098213898   0.08262995954485343   3.2776550619458535   20.513263488024535
0.029265792141844466   0.0826282334092877   3.277586591901745   20.480700631986775
0.029510034799533267   0.0826264786795644   3.277516987622721   20.448142049187283
0.029756315825961457   0.08262469488624312   3.2774462304876426   20.415587767598858
0.03000465223268283   0.08262288155229734   3.277374301574462   20.383037815089626
0.030255061173224046   0.08262103819299552   3.27730118165549   20.35049221941459
0.030507559944269437   0.08261916431578008   3.277226851192609   20.317951008206922
0.030762165986855754   0.08261725942014445   3.2771512903323963   20.285414208969016
0.03101889688757691   0.08261532299750891   3.2770744789011865   20.252881849063417
0.03127777037979871   0.08261335453109392   3.2769963964000586   20.220353955703473
0.03153880434488383   0.0826113534957919   3.2769170219997457   20.18783055594377
0.03180201681342685   0.08260931935777954   3.276836334525255   20.155311676670355
0.03206742596649978   0.08260725157567922   3.2767543125019425   20.12279734459081
0.03233505013690787   0.0826051495978248   3.2766709340470515   20.090287586151526
0.03260490781045593   0.08260301286474031   3.2765861769680313   20.057782427815358
0.03287701762722519   0.08260084080768641   3.276500018704894   20.025281895698104
0.03315139838286084   0.0825986328487856   3.276412436335162   19.992786015536428
0.033428069029870354   0.0825963884008797   3.276323406568228   19.960294813062877
0.0337070486789326   0.08259410686738589   3.27623290573964   19.927808313691113
0.033988356600217845   0.0825917876421504   3.2761409098053   19.89532654257974
0.034272012224718866   0.08258943010930017   3.276047394335574   19.8628495246204
0.034558035145593094   0.08258703364309222   3.275952334509325   19.83037728442564
0.034846445119516026   0.08258459760776098   3.2758557051078516   19.79790984631643
0.035137262068045794   0.0825821213573632   3.2757574805087395   19.765447234309466
0.03543050607899934   0.08257960423562107   3.275657634679636   19.732989472104236
0.03572619740783992   0.08257704557576236   3.2755561411719074   19.700536583069713
0.036024356479076175   0.08257444470035902   3.275452973114241   19.668088590230884
0.036325003887672985   0.08257180092116292   3.275348103206129   19.63564551625493
0.036628160400474015   0.0825691135389394   3.2752415037112628   19.603207383437073
0.036933846957636185   0.0825663818432986   3.275133146450845   19.570774213686317
0.037242084674076005   0.082563605111971   3.275023002774849   19.53834602851064
0.03755289484092818   0.08256078261324121   3.274911043658568   19.505922848902088
0.03786629892701619   0.08255791360090328   3.2747972395024973   19.473504695671057
0.038182318580335245   0.0825549973181908   3.274681560288234   19.441091589143525
0.038500975629547594   0.08255203299707498   3.2745639755506404   19.408683548701394
0.038822292085490276   0.08254901985623558   3.274444454297345   19.376280593950458
0.03914629014269555   0.08254595710252993   3.2743229650670207   19.343882743619556
0.03947299218092394   0.08254284393997573   3.2741994762857036   19.311490015788568
0.039802420766710055   0.08253967951754915   3.274073954196116   19.279102428299204
0.040134598654921375   0.0825364630365105   3.2739463671149163   19.246719998225135
0.04046954879033   0.0825331936407657   3.273816681083705   19.214342742415536
0.04080729430919756   0.08252987047198705   3.273684862055488   19.181970676797736
0.041147858540873244   0.08252649265826723   3.2735508754445988   19.149603816809663
0.04149126500940536   0.08252305931391313   3.273414686118554   19.117242177268476
0.041837537435166154   0.08251956953923849   3.273276258389793   19.084885772351406
0.04218669973649027   0.0825160224203526   3.273135556007319   19.052534615576093
0.042538776031326914   0.08251241702894618   3.2729925421481987   19.020188719780524
0.04289379063890573   0.08250875242207502   3.2728471794089744   18.98784809710273
0.04325176808141666   0.08250502764193962   3.272699429796938   18.955512758959944
0.043612733085703716   0.08250124171566295   3.2725492547212975   18.923182716027515
0.04397671058497305   0.08249739365506423   3.272396614984214   18.890857978217337
0.04434372572051512   0.08249348245643014   3.272241470771729   18.858538554655958
0.04471380384344131   0.08248950710029108   3.2720837816448785   18.826224453662228
0.04508697051643506   0.0824854665511518   3.271923506529021   18.79391568272459
0.04546325151551743   0.08248135975730661   3.2717606037064955   18.761612248477977
0.04584267283182783   0.08247718565056078   3.2715950308055777   18.729314156681887
0.04622526067341899   0.08247294314599549   3.271426744791155   18.697021412189425
0.046611041467067515   0.08246863114171983   3.271255701954886   18.664734018934023
0.04700004186009915   0.08246424851861965   3.271081857905246   18.632451979896878
0.047392288722229434   0.08245979414010281   3.2709051675574115   18.600175297083666
