z   Sigma_E1   Delta_E1   Sigma_E2   Delta_E2   Sigma_E3   Delta_E3   Sigma_nuR   Delta_nuR   Delta_phi_R   Delta_er   Delta_phiR_2m   Delta_psi_L   Delta_phi_L   
0.5001577621729295   0.004084111860415554   0.0   0.004084111035796138   0.0   0.0035091593756166875   0.0   0.0035592921654217014   0.0   0.0   0.0   0.0   0.0   0.0
0.5002577621729295   0.004084104213432   2.2730065406850347e-21   0.004084103379458778   3.076588914946555e-21   0.0035091257400370114   4.63211551011512e-19   0.0035592921654236855   5.8635324353867806e-18   -5.8635324353867806e-18   5.8635324353867806e-18   -5.8635324353867806e-18   1.1258503654030758e-17   1.1653441109707976e-25
0.5003577621729295   0.004084088479954431   9.484367130891883e-21   0.0040840876276491125   1.2836959877439885e-20   0.003509058197989349   1.888118646926996e-18   0.0035592921654276763   1.7932262118304938e-17   -1.7932262118304938e-17   1.7932262118304938e-17   -1.7932262118304938e-17   3.3954083952740334e-17   4.943217865234014e-25
0.5013577621729294   0.004083669895003654   8.164175859242466e-19   0.0040836687126962305   1.1042092284291374e-18   0.0035075002003014544   1.1025386760757782e-16   0.0035592921655207676   3.4041344169049156e-16   -3.404134416904916e-16   3.4041344169049156e-16   -3.404134416904916e-16   5.686523428046367e-16   5.2048080268174616e-23
0.5023577621729293   0.004082921009925103   3.3205114102536463e-18   0.004082919434882162   4.4895261795138065e-18   0.00350497329961314   3.825193027992814e-16   0.0035592921656730308   9.19068168282126e-16   -9.19068168282126e-16   9.19068168282126e-16   -9.19068168282126e-16   1.447806784154891e-15   2.2368900129199836e-22
0.5033577621729292   0.004082050599183243   7.949832371995186e-18   0.004082048783397341   1.0744535088772356e-17   0.003502276105327319   7.730903027404791e-16   0.0035592921658369452   1.5941813212331485e-15   -1.5941813212331485e-15   1.5941813212331485e-15   -1.5941813212331485e-15   2.396577412125452e-15   5.616813051622475e-22
0.5133577621729281   0.004073004252273417   2.5598154161181425e-16   0.004073002194374423   3.4217867709273307e-16   0.0034759078529622957   5.361632487371977e-15   0.0035592921674796637   8.902990501878287e-15   -8.902990501878287e-15   8.902990501878292e-15   -8.902990501878292e-15   1.1846162574348116e-14   2.222478331429783e-20
0.523357762172927   0.004063826813882142   7.369643220568294e-16   0.004063824668576125   9.800294202385886e-16   0.0034494270068814886   1.0034937863894491e-14   0.0035592921691656463   1.6651746348834518e-14   -1.6651746348834518e-14   1.6651746348834537e-14   -1.6651746348834534e-14   2.155148433784727e-14   6.575726407911579e-20
0.6233577621729159   0.003965630593277122   4.7139975118764404e-14   0.003965626036163648   5.560751576128219e-14   0.003179303400029498   5.861164907397636e-14   0.0035592921878722177   1.6689378286631488e-13   -1.6689378286631493e-13   1.66893782866365e-13   -1.6689378286636506e-13   1.7241998388580847e-13   5.942499856453153e-18
0.7233577621729049   0.0038570147191997217   1.021574298907384e-13   0.0038570075641160455   1.1100541892955212e-13   0.002905271770121017   2.349704321725511e-13   0.003559292213732806   3.922526945259905e-13   -3.9225269452599064e-13   3.9225269452612847e-13   -3.922526945261287e-13   3.363458467139356e-13   1.8596842954776655e-17
