ME1   M_phiR   
1718699.6953977381   602699.317079231
1721868.5749860061   603439.9138430094
1725043.2972458424   604181.4206518979
1728223.8729497646   604923.8386241599
1731410.312890156   605667.1688794337
1734602.6278792876   606411.4125387308
1737800.8287493763   607156.5707244423
1741004.926352608   607902.6445603382
1744214.931561177   608649.6351715693
1747430.8552673233   609397.5436846688
1750652.7083833702   610146.3712275545
1753880.5018417602   610896.1189295296
1757114.2465950933   611646.7879212856
1760353.9536161625   612398.379334903
1763599.6338979967   613150.8943038543
1766851.2984538823   613904.3339630028
1770108.958317422   614658.6994486081
1773372.6245425586   615413.9918983254
1776642.3082036157   616170.2124512082
1779918.0203953355   616927.3622477093
1783199.7722329162   617685.4424296829
1786487.5748520498   618444.4541403869
1789781.4394089598   619204.398524483
1793081.3770804396   619965.2767280402
1796387.3990638931   620727.0898985368
1799699.5165773588   621489.8391848577
1803017.74085957   622253.525737303
1806342.0831699772   623018.1507075847
1809672.554788791   623783.7152488308
1813009.1670170208   624550.2205155857
1816351.9311765113   625317.6676638128
1819700.8586099825   626086.0578508954
1823055.9606810678   626855.39223564
1826417.2487743525   627625.6719782759
1829784.7342954157   628396.8982404596
1833158.4286708552   629169.0721852726
1836538.3433483473   629942.1949772277
1839924.489796672   630716.2677822681
1843316.879505755   631491.2917677697
1846715.5239867056   632267.2681025427
1850120.4347718586   633044.1979568336
1853531.6234148105   633822.0825023272
1856949.1014904606   634600.9229121474
1860372.8805950491   635380.7203608602
1863802.972346201   636161.4760244759
1867239.3883829503   636943.1910804465
1870682.1403658015   637725.8667076742
1874131.239976755   638509.5040865088
1877586.6989193503   639294.1043987502
1881048.5289187043   640079.668827651
1884516.7417215537   640866.1985579173
1887991.3490962926   641653.694775711
1891472.3628330135   642442.1586686521
1894959.794743547   643231.5914258194
1898453.6566615058   644021.9942377539
1901953.9604423097   644813.3682964568
1905460.7179632483   645605.7147953968
1908973.9411235065   646399.0349295082
1912493.6418442084   647193.3298951937
1916019.8320684577   647988.6008903262
1919552.5237613793   648784.8491142503
1923091.7289101575   649582.0757677843
1926637.4595240795   650380.2820532223
1930189.727634574   651179.4691743361
1933748.5452952571   651979.6383363769
1937313.9245819573   652780.7907460746
1940885.8775927792   653582.9276116446
1944464.4164481305   654386.0501427861
1948049.5532907653   655190.1595506845
1951641.3002858264   655995.2570480139
1955239.6696208864   656801.343848938
1958844.673505989   657608.4211691131
1962456.3241736896   658416.490225689
1966074.6338790988   659225.552237311
1969699.6148999215   660035.6084241221
1973331.2795365048   660846.6600077654
1976969.640111862   661658.7082113824
1980614.7089717397   662471.7542596204
1984266.4984846432   663285.7993786306
1987925.0210418815   664100.8447960708
1991590.2890576117   664916.8917411078
1995262.3149688789   665733.9414444182
1998941.1112356586   666551.9951381909
2002626.690340901   667371.0540561297
2006319.0647905746   668191.119433454
2010018.247113695   669012.1925068995
2013724.2498623894   669834.2745147237
2017437.0856119252   670657.3666967049
2021156.766960755   671481.4702941449
2024883.30653056   672306.5865498707
2028616.7169662928   673132.7167082364
2032357.0109362209   673959.8620151253
2036104.2011319685   674788.0237179521
2039858.3002685604   675617.2030656633
2043619.3210844651   676447.4013087412
2047387.2763416416   677278.6196992046
2051162.1788255668   678110.8594906086
2054944.0413453032   678944.1219380514
2058732.8767335268   679778.4082981726
2062528.6978465728   680613.7198291556
2066331.5175644818   681450.0577907305
2070141.3487910414   682287.4234441743
2073958.2044538308   683125.818052315
2077782.0975042647   683965.2428795318
2081613.0409176417   684805.6991917585
2085451.0476931706   685647.1882564815
2089296.1308540408   686489.7113427483
2093148.303447449   687333.2697211637
2097007.5785446481   688177.8646638948
2100873.969240991   689023.4974446712
2104747.4886559756   689870.1693387886
2108628.149933289   690717.8816231088
2112515.9662408517   691566.635576063
2116410.9507708633   692416.4324776535
2120313.1167398477   693267.2736094551
2124222.477388699   694119.1602546189
2128139.0459827133   694972.0936978691
2132062.8358116574   695826.0752255123
2135993.860189796   696681.1061254342
2139932.132455943   697537.1876871028
2143877.665973507   698394.3212015715
2147830.474130533   699252.5079614795
2151790.570339753   700111.7492610543
2155757.9680386274   700972.0463961143
2159732.680689397   701833.4006640706
2163714.72177911   702695.8133639259
2167704.1048196964   703559.2857962821
2171700.8433479927   704423.8192633381
2175704.9509257954   705289.4150688932
2179716.4411399057   706156.0745183487
2183735.3276021746   707023.7989187096
2187761.623949552   707892.5895785878
2191795.343844129   708762.4478082024
2195836.500973188   709633.3749193829
2199885.109049247   710505.3722255707
2203941.1818101113   711378.4410418221
2208004.733018901   712252.5826848063
2212075.7764641284   713127.7984728138
2216154.3259597206   714004.0897257534
2220240.3953450765   714881.4577651564
2224333.998485111   715759.9039141776
2228435.149270303   716639.4294975977
2232543.861616742   717520.0358418255
2236660.1494661747   718401.7242748996
2240784.026786055   719284.4961264906
2244915.507569592   720168.3527279039
2249054.605835783   721053.2954120776
2253201.335629485   721939.325513591
2257355.7110214476   722826.4443686623
2261517.746108363   723714.6533151516
2265687.4550129133   724603.9536925629
2269864.851883821   725494.3468420461
2274049.9508958953   726385.8341063994
2278242.7662500795   727278.4168300709
2282443.312173501   728172.0963591606
2286651.602919523   729066.8740414239
2290867.6527677746   729962.7512262689
2295091.476024227   730859.7292647653
2299323.087021224   731757.8095096415
2303562.5001175352   732656.9933152887
2307809.729698403   733557.2820377619
2312064.790175594   734458.6770347827
2316327.6959874467   735361.1796657412
2320598.4615989197   736264.7912916971
2324877.1015016427   737169.5132753837
2329163.6302139685   738075.3469812091
2333458.0622810046   738982.2937752552
2337760.41227469   739890.3550252855
2342070.694793826   740799.532100743
2346388.924464132   741709.8263727542
2350715.115938293   742621.2392141295
2355049.283896009   743533.7719993668
2359391.443044048   744447.4261046528
2363741.608116292   745362.2029078654
2368099.79387379   746278.1037885753
2372466.015104812   747195.1301280499
2376840.286624878   748113.2833092504
2381222.623276841   749032.5647168406
2385613.0399309136   749952.9757371851
2390011.551484727   750874.5177583514
2394418.17286338   751797.1921701132
2398832.91901949   752721.000363952
2403255.8049332425   753645.9437330583
2407686.8456124444   754572.0236723358
2412126.0560925724   755499.2415784012
2416573.45143683   756427.598849589
2421029.04673618   757357.0968859488
2425492.857109423   758287.7370892534
2429964.8977032304   759219.5208629974
2434445.1836922015   760152.4496123998
2438933.730278913   761086.5247444063
2443430.5526939714   762021.7476676917
2447935.666196066   762958.1197926614
2452449.0860720184   763895.6425314543
2456970.827636836   764834.3172979443
2461500.906233764   765774.1455077429
2466039.337234341   766715.1285782016
2470586.136038433   767657.2679284113
2475141.318074314   768600.564979209
2479704.898798699   769545.0211531768
2484276.893696803   770490.6378746452
2488857.3182823905   771437.4165696945
2493446.18809783   772385.3586661575
2498043.5187141476   773334.4655936217
2502649.325731077   774284.738783431
2507263.6247771215   775236.1796686894
2511886.4315095823   776188.7896842585
2516517.761614645   777142.5702667667
2521157.630807412   778097.522854606
2525806.0548319607   779053.6488879365
2530463.0494613964   780010.9498086877
2535128.6304979073   780969.4270605608
2539802.8137728153   781929.082089031
2544485.615146634   782889.9163413505
2549177.050509118   783851.9312665487
2553877.13577932   784815.1283154363
2558585.886905648   785779.5089406075
2563303.3198659006   786745.0745964388
2568029.4506673506   787711.8267390963
2572764.2953467797   788679.7668265349
2577507.8699705373   789648.8963185005
2582260.1906345957   790619.2166765335
2587021.273464604   791590.7293639694
2591791.1346159433   792563.4358459426
2596569.7902737823   793537.3375893874
2601357.256653135   794512.4360630419
2606153.5499988976   795488.7327374454
2610958.686585934   796466.2290849482
2615772.682719108   797444.9265797081
2620595.5547333485   798424.8266976946
2625427.3189937   799405.9309166907
2630267.9918953814   800388.2407162953
2635117.58986384   801371.7575779258
2639976.1293548085   802356.4829848197
2644843.626854359   803342.4184220369
2649720.098878961   804329.5653764624
2654605.5619755415   805317.9253368094
2659500.0327215204   806307.4997936169
2664403.5277248975   807298.2902392593
2669316.06362429   808290.298167943
2674237.6570889917   809283.5250757111
2679168.3248190316   810277.9724604446
2684108.0835452285   811273.6418218652
2689056.9500292493   812270.5346615377
2694014.9410636667   813268.652482872
2698982.0734720184   814267.9967911259
2703958.364108846   815268.5690934045
2708943.829859783   816270.3708986674
2713938.4876415893   817273.4037177275
2718942.354402217   818277.6690632544
2723955.447120866   819283.168449776
2728977.7828080403   820289.9033936817
2734009.37850561   821297.8754132245
2739050.2512868633   822307.086028522
2744100.41825657   823317.5367615606
2749159.8965510363   824329.2291361968
2754228.703338169   825342.1646781603
2759306.8558175117   826356.3449150528
2764394.371220337   827371.771376356
2769491.2668096833   828388.4455934304
2774597.5598804154   829406.3690995177
2779713.267759288   830425.5434297441
2784838.4078050028   831445.9701211218
2789972.997408264   832467.6507125521
2795117.0539918425   833490.5867448269
2800270.5950106382   834514.7797606327
2805433.6379517163   835540.2313045486
2810606.2003344004   836566.942923054
2815788.299710311   837594.9161645288
2820979.9536634297   838624.1525792549
2826181.179810158   839654.6537194193
2831391.995799379   840686.4211391163
2836612.4193125144   841719.4563943495
2841842.4680635887   842753.7610430353
2847082.1597992852   843789.336645004
2852331.512299008   844826.1847620024
2857590.5433749496   845864.306957698
2862859.2708721245   846903.704797676
2868137.712668468   847944.3798494489
2873425.8866748717   848986.3336824542
2878723.810835251   850029.5678680581
2884031.503126606   851074.0839795574
2889348.981559081   852119.8835921823
2894676.2641760283   853166.9682830987
2900013.369054067   854215.3396314104
2905360.3143031453   855264.9992181617
2910717.118066608   856315.9486263408
2916083.798521234   857368.1894408779
2921460.3738773344   858421.7232486536
2926846.862378789   859476.5516384976
2932243.2823031154   860532.6762011925
2937649.6519615306   861590.0985294747
2943065.9896990135   862648.8202180384
2948492.3138943664   863708.842863537
2953928.6429602783   864770.1680645862
2959374.995343386   865832.7974217659
2964831.3895243453   866896.732537624
2970297.844017866   867961.9750166741
2975774.377372814   869028.5264654048
2981261.0081722476   870096.3884922777
2986757.7550334902   871165.5627077313
2992264.636608189   872236.0507241819
2997781.6715823817   873307.8541560282
3003308.878676558   874380.9746196526
3008846.2766457237   875455.4137334228
3014393.884279466   876531.1731176961
3019951.720402019   877608.2543948216
3025519.803872309   878686.6591891386
3031098.15358405   879766.3891269859
3036686.788465786   880847.4458366993
3042285.727480961   881929.8309486161
3047894.989627983   883013.5460950764
3053514.5939402888   884098.5929104262
3059144.5594864083   885184.9730310199
3064784.905370029   886272.6880952228
3070435.6507300623   887361.7397434132
3076096.8147407114   888452.1296179863
3081768.416611515   889543.8593633518
3087450.475587448   890636.9306259439
3093143.0109489635   891731.345054219
3098846.042012061   892827.1042986582
3104559.588128356   893924.2100117713
3110283.668685142   895022.6638480988
3116018.303105461   896122.4674642143
3121763.5108481636   897223.6225187266
3127519.3114079796   898326.130672283
3133285.724315589   899429.9935875724
3139062.769137661   900535.2129293233
3144850.4654769623   901641.7903643133
3150648.8329723952   902749.7275613671
3156457.8912990717   903859.0261913599
3162277.6601683795   904969.6879272202
3168108.15932805   906081.7144439322
3173949.4085622253   907195.107418538
3179801.4276915244   908309.868530141
3185664.23657311   909425.9994599073
3191537.8551007584   910543.5018910693
3197422.3032049304   911662.377508929
3203317.600852815   912782.628000855
3209223.768048436   913904.2550562934
3215140.8248326923   915027.2603667654
3221068.7912834347   916151.6456258702
3227007.687515532   917277.4125292886
3232957.533680941   918404.5627747845
3238918.3499687724   919533.0980622082
3244890.156605363   920663.0200934991
3250872.973854347   921794.330572689
3256866.8220167016   922927.0312058995
3262871.7214308525   924061.123701353
3268887.6924727196   925196.6097693694
3274914.7555557904   926333.4911223701
3280952.93113119   927471.7694748815
3287002.239687752   928611.4465435357
3293062.701752084   929752.5240470748
3299134.337888642   930895.003706353
3305217.1686997977   932038.8872443389
3311311.2148259077   933184.1763861179
3317416.4969453923   934330.8728588974
3323533.035774778   935478.9783920026
3329660.852068807   936628.4947168877
3335799.9666204816   937779.4235671333
3341950.4002611428   938931.7666784499
3348112.1738605383   940085.5257886817
3354285.308326896   941240.7026378075
3360469.824606992   942397.2989679443
3366665.7436862253   943555.3165233505
3372873.0865886924   944714.7570504281
3379091.8743772334   945875.6222977219
3385322.1281535444   947037.9140159294
3391563.8690582197   948201.633957897
3397817.1182708335   949366.7838786263
3404081.8970100093   950533.3655352746
3410358.2265334926   951701.3806871583
3416646.128138224   952870.8310957566
3422945.6231604107   954041.7185247121
3429256.732975598   955214.0447398353
3435579.478998743   956387.8115091061
3441913.882684294   957563.0206026784
3448259.9655262358   958739.6737928774
3454617.7490582033   959917.7728542099
3460987.254853528   961097.3195633618
3467368.504525317   962278.3156992028
3473761.519726527   963460.7630427877
3480166.322150038   964644.6633773601
3486582.9335287274   965830.0184883556
3493011.3756355406   967016.8301634021
3499451.6702835765   968205.1001923272
3505903.83932613   969394.8303671529
3512367.9046568098   970586.0224821074
3518843.888209584   971778.6783336223
3525331.8119588625   972972.7997203368
3531831.69791957   974168.3884431
3538343.5681472216   975365.4463049745
3544867.444737999   976563.9751112375
3551403.349828821   977763.9766693853
3557951.305597426   978965.4527891353
3564511.334262439   980168.4052824279
3571083.4580834606   981372.8359634324
3577667.69936111   982578.7466485425
3584264.0804371466   983786.1391563881
3590872.623694513   984995.0153078326
3597493.3515574234   986205.3769259772
3604126.2864914355   987417.2258361629
3610771.4510035287   988630.5638659733
3617428.8676421796   989845.3928452389
3624098.5589974397   991061.7146060375
3630780.5477010175   992279.5309827002
3637474.856426328   993498.8438118079
3644181.5078886123   994719.6549322022
3650900.524844986   995941.9661849833
3657631.930094523   997165.7794135131
3664375.746478333   998391.0964634193
3671131.9968796414   999617.9191825972
3677900.704223862   1000846.2494212126
3684681.89147868   1002076.0890317053
3691475.5816541268   1003307.4398687907
3698281.7978026588   1004540.3037894641
3705100.5630192356   1005774.6826530019
3711931.9004414068   1007010.5783209668
3718775.8332493585   1008247.9926572052
3725632.3846660387   1009486.9275278576
3732501.5779572064   1010727.3848013561
3739383.436431516   1011969.3663484291
3746277.983440598   1013212.8740421034
3753185.242379138   1014457.9097577076
3760105.236684956   1015704.4753728751
3767037.989839093   1016952.5727675467
3773983.525365861   1018202.2038239704
3780941.866832969   1019453.3704267107
3787913.0378515692   1020706.0744626463
3794897.06207635   1021960.3178209749
3801893.9632056127   1023216.1023932153
3808903.7649813513   1024473.4300732109
3815926.491189337   1025732.3027571319
3822962.1656591934   1026992.7223434792
3830010.812264483   1028254.6907330855
3837072.4549227846   1029518.2098291201
3844147.1175957746   1030783.2815370909
3851234.8242893177   1032049.907764848
3858335.5990535165   1033318.0904225823
3865449.46598284   1034587.8314228362
3872576.4492161726   1035859.1326805
3879716.572936907   1037131.9961128184
3886869.8613730227   1038406.4236393903
3894036.3387971707   1039682.417182175
3901216.0295267557   1040959.9786654926
3908408.957924025   1042239.1100160292
3915615.1483961204   1043519.8131628348
3922834.6253952095   1044802.0900373335
3930067.413418534   1046085.9425733214
3937313.537008506   1047371.372706971
3944573.020752785   1048658.3823768338
3951845.8892843653   1049946.9735238436
3959132.1672816603   1051237.148091319
3966431.8794685816   1052528.908024967
3973745.050614629   1053822.2552728846
3981071.7055349695   1055117.1917855635
3988411.8690905236   1056413.719515892
3995765.566188058   1057711.8404191586
4003132.821780238   1059011.5564530517
4010513.660865759   1060312.8695776688
4017908.1084894002   1061615.781755514
4025316.189742118   1062920.294951504
4032737.9297611304   1064226.4111329692
4040173.3537300024   1065534.132269658
4047622.486878732   1066843.4603337387
4055085.354483835   1068154.3972998033
4062561.9818684394   1069466.9451448717
4070052.3944023387   1070781.1058483887
4077556.6175021264   1072096.8813922356
4085074.6766312514   1073414.273760728
4092606.5973001095   1074733.2849406197
4100152.405066133   1076053.9169211055
4107712.125533876   1077376.1716938247
4115285.7843551002   1078700.051252864
4122873.4072288647   1080025.5575947608
4130475.0199016104   1081352.6927185047
4138090.6481672497   1082681.4586255432
4145720.3178672604   1084011.8573197832
4153364.054890741   1085343.8908075907
4161021.885174549   1086677.5610978007
4168693.834703355   1088012.8702017162
4176379.9295097385   1089349.8201331103
4184080.195674278   1090688.4129082318
4191794.659325637   1092028.6505458066
4199523.346640656   1093370.5350670414
4207266.283844437   1094714.0684956259
4215023.497210448   1096059.252857739
4222795.013060568   1097406.0901820445
4230580.857765236   1098754.5824997027
4238381.057743503   1100104.7318443698
4246195.63946313   1101456.5402521996
4254024.629440679   1102810.0097618487
4261868.054241604   1104165.1424144786
4269725.940480335   1105521.940253759
4277598.314820376   1106880.4053258707
4285485.203974392   1108240.5396795091
4293386.634704299   1109602.3453658866
4301302.633821366   1110965.8244387384
4309233.228186267   1112330.9789543182
4317178.44470923   1113697.810971411
4325138.310350088   1115066.32255133
4333112.852118382   1116436.515757922
