z   Sigma_E1   Delta_E1   Sigma_E2   Delta_E2   Sigma_E3   Delta_E3   Sigma_nuR   Delta_nuR   Delta_phi_R   Delta_er   Delta_phiR_2m   Delta_psi_L   Delta_phi_L   
0.9294526647420182   0.00375039880938227   5.935033978402706e-16   0.0034823384280696693   -1.0761976921352128e-13   0.0033243895472834556   -6.271369699578501e-14   0.0035594387181002475   -3.015677437488338e-13   3.015677437488338e-13   -3.015677479226255e-13   3.015677479226255e-13   -4.3293153261974857e-13   -2.822713873092007e-16
1.0684964512072759   0.0035994391965350585   1.5301864721845662e-15   0.0032553453415430644   -2.1106219717925165e-13   0.0030730279747949755   -1.2997516417504834e-13   0.003559558837474984   -5.020679022980195e-13   5.020679022980195e-13   -5.020679207756511e-13   5.020679207756511e-13   -6.634893013427667e-13   -6.99957181281729e-16
1.2075402376725335   0.003444202817606479   3.210276199135523e-15   0.0030222613646924174   -3.280171769947394e-13   0.002816954463058964   -2.145100983638618e-13   0.0035597257293897926   -7.323990956057566e-13   7.323990956057566e-13   -7.32399154492858e-13   7.323991544928581e-13   -9.231942196416688e-13   -1.4205812591305513e-15
1.346584024137791   0.003285793973084058   5.84769223329499e-15   0.002786937432856588   -4.2750026691301023e-13   0.0025594810640292027   -3.0021962949314865e-13   0.003559945445252653   -9.698845535642573e-13   9.698845535642573e-13   -9.698847051431322e-13   9.69884705143132e-13   -1.21389676234497e-12   -2.5156300721936737e-15
1.6288225780563548   0.002966987833520935   1.4433628182988358e-14   0.0023257011636884616   1.542662354518729e-13   0.00205691388352048   -3.741341638769998e-13   0.0035605761698839582   -1.3421903707350289e-12   1.3421903707350289e-12   -1.342191041886346e-12   1.3421910418863459e-12   -2.4700367771117477e-12   -5.829925563141608e-15
1.9110611319749184   0.002665484873192519   2.7145980564942615e-14   0.0019089227115578567   -2.0910707797811368e-13   0.0016106581421602545   -4.102940155400161e-13   0.0035614970596400566   -1.3673810800080438e-12   1.3673810800080436e-12   -1.3673828961522907e-12   1.3673828961522905e-12   -2.1270442542654386e-12   -1.057885386856853e-14
2.193299685893482   0.0023915392765351436   4.11950149408608e-14   0.0015474960656542947   -3.4473906431319936e-13   0.0012396569079044335   -2.748734960320956e-13   0.003562768074690495   -8.418916575676805e-13   8.418916575676805e-13   -8.418949753951135e-13   8.418949753951135e-13   -1.0857078117343811e-12   -1.479193438907407e-14
2.475538239812046   0.002148224549778615   5.201337378006292e-14   0.0012413677874754021   3.9360003984461354e-14   0.0009428657252968293   -5.491943469254646e-15   0.0035644567222311474   3.7120903861553186e-13   -3.7120903861553186e-13   3.712054140293931e-13   -3.712054140293932e-13   6.725605259454777e-13   -1.562426329610956e-14
2.876454434180314   0.0018527553217124774   4.955711511614534e-14   0.0008937052900565303   6.616449792373074e-13   0.0006276257032005238   4.0533320819743503e-13   0.0035677134770986246   3.4487818970792366e-12   -3.4487818970792366e-12   3.4487900915437087e-12   -3.4487900915437083e-12   5.764815573043069e-12   -3.54694855341775e-15
3.1671998486620145   0.0016726826882825711   3.060131458348485e-14   0.0006980258728334837   1.074475134385333e-12   0.0004635465501615206   6.607746863067516e-13   0.0035707495016936252   6.6988090496577274e-12   -6.6988090496577274e-12   6.698842936171573e-12   -6.698842936171573e-12   1.1568097562866564e-11   1.7449754855307645e-14
